species_list,Site Name,Longitude,Latitude,Month,Year,total_tolerant_species,total_sensitive_species,total_resident_species,total_migrant_species,total_unique_species,total_bird_count
"['Black-naped Oriole', 'Brown Shrike', 'Cinnamon Bittern', 'Collared Kingfisher', 'Common Kingfisher', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Guaiabero', 'Medium Egret', 'Philippine Jungle Crow', 'Little Egret', 'Long-tailed Shrike', 'Lowland White-eye', 'Garden Sunbird', 'Pacific Swallow', 'Ameline Swiftlet', 'Philippine Pied-Fantail', 'Philippine Pygmy Woodpecker', 'Pied Triller', 'Purple Needletail', 'Rock Pigeon', 'Rufous-crowned Bee-eater', 'Yellow-vented Bulbul', 'Zebra Dove']",UP Diliman--Campus,121.0651302,14.6548835,1,2014,20,4,20,4,24,345
"['Asian Glossy Starling', 'Black-naped Oriole', 'Brown Shrike', 'Golden-bellied Gerygone', 'Philippine Scops-Owl']",UP Diliman--Campus,121.0651302,14.6548835,2,2014,3,2,4,1,5,15
"['Philippine Nightjar', 'Striated Grassbird']",UP Diliman--Campus,121.0651302,14.6548835,3,2014,1,1,2,0,2,2
"['Brown-breasted Kingfisher', 'Philippine Pied-Fantail', 'Philippine Scops-Owl', 'Striated Grassbird']",UP Diliman--Campus,121.0651302,14.6548835,4,2014,3,1,4,0,4,7
"['Collared Kingfisher', 'Coppersmith Barbet', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Long-tailed Shrike', 'Lowland White-eye', 'Paddyfield Pipit', 'Pacific Swallow', 'Philippine Pied-Fantail', 'Philippine Pygmy Woodpecker', 'Striated Grassbird', 'Yellow-vented Bulbul', 'Zebra Dove']",UP Diliman--Campus,121.0651302,14.6548835,7,2014,13,0,13,0,13,61
"['Chestnut Munia', 'Gray-rumped Swiftlet', 'Long-tailed Shrike', 'Garden Sunbird', 'Philippine Nightjar', 'Philippine Pygmy Woodpecker', 'Pygmy Swiftlet', 'White-browed Crake']",University Philippines Diliman,121.0669948,14.6552104,2,2014,6,2,8,0,8,24
"['Brown Shrike', 'Collared Kingfisher', 'Common Kingfisher', 'Eurasian Moorhen', 'Coppersmith Barbet', 'Crested Myna', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Long-tailed Shrike', 'Lowland White-eye', 'Garden Sunbird', 'Philippine Hanging-Parrot', 'Philippine Pied-Fantail', 'Philippine Pygmy Woodpecker', 'Rock Pigeon', 'Striated Grassbird', 'White-browed Crake', 'White-breasted Waterhen', 'Yellow-vented Bulbul', 'Zebra Dove']",UP Diliman--Hardin ng Rosas,121.0685051,14.6425145,9,2014,17,3,18,2,20,83
"['Brown Shrike', 'Collared Kingfisher', 'Long-tailed Shrike', 'Lowland White-eye', 'Philippine Pied-Fantail', 'Spotted Dove', 'Yellow-vented Bulbul', 'Zebra Dove']",UP Diliman,121.0721735,14.6513687,3,2014,7,1,7,1,8,22
"['Arctic Warbler', 'Ashy Thrush', 'Barred Rail', 'Black-chinned Fruit-Dove', 'Black-naped Oriole', 'Brown-headed Thrush', 'Brown Shrike', 'Collared Kingfisher', 'Common Kingfisher', 'Coppersmith Barbet', 'Asian Emerald Dove', 'Eurasian Tree Sparrow', 'Eyebrowed Thrush', 'Golden-bellied Gerygone', 'Guaiabero', 'Gray-backed Tailorbird', 'Philippine Jungle Crow', 'Little Egret', 'Lowland White-eye', 'Mangrove Blue Flycatcher', 'Garden Sunbird', 'Osprey', 'Pacific Swallow', 'Ameline Swiftlet', 'Philippine Magpie-Robin', 'Philippine Pied-Fantail', 'Philippine Pygmy Woodpecker', 'Pied Triller', 'Philippine Pitta', 'Rock Pigeon', ""White's Thrush"", 'Slaty-legged Crake', 'Spotted Kingfisher', 'Western Hooded Pitta', 'White-eared Brown-Dove', 'Yellow-vented Bulbul', 'Zebra Dove']","La Mesa Eco Park, Quezon City",121.0731447,14.7123385,1,2014,20,17,28,9,37,184
"['Arctic Warbler', 'Kamchatka Leaf Warbler', 'Asian Glossy Starling', 'Ashy Minivet', 'Ashy Thrush', 'Barred Rail', 'Barn Swallow', 'Black-naped Oriole', 'Brown-breasted Kingfisher', 'Brown-headed Thrush', 'Brown Shrike', 'Chestnut Munia', 'Collared Kingfisher', 'Common Kingfisher', 'Eurasian Moorhen', 'Coppersmith Barbet', 'Asian Emerald Dove', 'Eurasian Tree Sparrow', 'Eyebrowed Thrush', 'Golden-bellied Gerygone', 'Gray Heron', 'Great Egret', 'Gray Wagtail', 'Guaiabero', 'Gray-backed Tailorbird', 'Gray-rumped Swiftlet', 'Gray-streaked Flycatcher', 'Medium Egret', 'Philippine Jungle Crow', 'Little Ringed Plover', 'Little Egret', 'Long-tailed Shrike', 'Lowland White-eye', 'Mangrove Blue Flycatcher', 'Garden Sunbird', 'Pacific Reef-Heron', 'Pacific Swallow', 'Pechora Pipit', 'Philippine Bulbul', 'Philippine Coucal', 'Philippine Hanging-Parrot', 'Philippine Magpie-Robin', 'Philippine Nightjar', 'Philippine Pied-Fantail', 'Philippine Pygmy Woodpecker', 'Pied Triller', 'Plain Bush-hen', 'Gray-throated Sunbird', 'Purple-throated Sunbird', 'Philippine Pitta', 'Red-keeled Flowerpecker', 'Spotted Dove', 'Spotted Kingfisher', 'Striated Grassbird', 'Western Hooded Pitta', 'White-browed Crake', 'White-bellied Munia', 'White-breasted Waterhen', 'White-breasted Woodswallow', 'White-eared Brown-Dove', 'Yellow-vented Bulbul', 'Zebra Dove']","La Mesa Eco Park, Quezon City",121.0731447,14.7123385,2,2014,37,25,46,16,62,673
