Species Name,Light Tolerance,Migratory Status
Citrine Canary-Flycatcher,Sensitive,Resident
diurnal raptor sp.,Tolerant,Resident
Dollarbird,Tolerant,Resident
Eurasian Curlew,Sensitive,Migratory
Flaming Sunbird,Sensitive,Resident
Green-backed Tailorbird,Sensitive,Resident
Golden-headed Cisticola,Tolerant,Resident
Great Crested Tern,Sensitive,Migratory
Chinese Sparrowhawk,Sensitive,Migratory
Greater Sand-Plover,Sensitive,Migratory
Luzon Flameback,Sensitive,Resident
Luzon Hornbill,Sensitive,Resident
Philippine Hawk-Eagle,Sensitive,Resident
Luzon Boobook,Tolerant,Resident
Rufous Coucal,Sensitive,Resident
Scale-feathered Malkoha,Sensitive,Resident
Sulphur-billed Nuthatch,Sensitive,Resident
Philippine Megapode,Sensitive,Resident
tern sp.,Sensitive,Migratory
Warbling White-eye,Tolerant,Resident
White-browed Shama,Sensitive,Resident
Whiskered Treeswift,Tolerant,Resident
White-lored Oriole,Sensitive,Resident
Eastern Red-rumped Swallow,Tolerant,Migratory
Benguet Bush Warbler,Sensitive,Resident
Bundok Flycatcher,Sensitive,Resident
Chestnut-faced Babbler,Sensitive,Resident
Fire-throated Flowerpecker,Sensitive,Resident
Green-backed Whistler,Sensitive,Resident
Mountain Shrike,Sensitive,Resident
Turquoise Flycatcher,Sensitive,Resident
Luzon Island-Thrush,Sensitive,Resident
Little Pied Flycatcher,Sensitive,Resident
Long-tailed Bush Warbler,Sensitive,Resident
Luzon Racquet-tail,Sensitive,Resident
Luzon Redstart,Sensitive,Resident
Metallic Pigeon,Sensitive,Resident
Mountain Tailorbird,Sensitive,Resident
Olive-backed Pipit,Sensitive,Migratory
Philippine Bush Warbler,Sensitive,Resident
Red Crossbill,Sensitive,Resident
Philippine Shortwing,Sensitive,Resident
Yellowish White-eye,Tolerant,Resident
Lesser Coucal,Tolerant,Resident
Oriental Skylark,Tolerant,Resident
Visayan Babbler,Sensitive,Resident
Eastern Yellow Wagtail,Sensitive,Migratory
Northern Silvery-Kingfisher,Sensitive,Resident
Samar Hornbill,Sensitive,Resident
Visayan Blue-Fantail,Sensitive,Resident
Visayan Broadbill,Sensitive,Resident
Yellow-breasted Tailorbird,Sensitive,Resident
Accipitrine hawk sp.,Tolerant,Resident
Phylloscopus sp.,Sensitive,Migratory
Zitting Cisticola,Tolerant,Resident
Ashy Drongo,Tolerant,Migratory
Asian House-Martin,Tolerant,Migratory
Black-bellied Plover,Sensitive,Migratory
Brown-eared Bulbul,Tolerant,Resident
Chinese Pond-Heron,Sensitive,Migratory
Common Myna,Tolerant,Resident
Common Snipe,Sensitive,Migratory
Daurian Redstart,Sensitive,Migratory
Dusky Thrush,Sensitive,Migratory
Eurasian Coot,Sensitive,Migratory
Eurasian Kestrel,Tolerant,Migratory
European Starling,Tolerant,Migratory
Eurasian Wigeon,Sensitive,Migratory
Gadwall,Sensitive,Migratory
Green-winged Teal,Sensitive,Migratory
Great Cormorant,Sensitive,Migratory
Green Sandpiper,Sensitive,Migratory
Light-vented Bulbul,Tolerant,Resident
Mallard,Sensitive,Migratory
Manchurian Bush Warbler,Sensitive,Migratory
Malayan Night Heron,Sensitive,Resident
Northern Boobook,Tolerant,Migratory
Northern Pintail,Sensitive,Migratory
Northern Shoveler,Sensitive,Migratory
Oriental Reed Warbler,Sensitive,Migratory
Oriental Turtle-Dove,Sensitive,Migratory
Pacific Reef-Heron,Tolerant,Resident
Pale Thrush,Sensitive,Migratory
pond-heron sp.,Sensitive,Migratory
Red-billed Starling,Tolerant,Migratory
Ruddy-breasted Crake,Sensitive,Resident
Ruddy Turnstone,Sensitive,Migratory
Ryukyu Scops-Owl,Sensitive,Migratory
thrush sp.,Sensitive,Migratory
Tufted Duck,Sensitive,Migratory
White-cheeked Starling,Tolerant,Migratory
Whistling Green-Pigeon,Sensitive,Resident
White Wagtail,Tolerant,Migratory
White-shouldered Starling,Tolerant,Migratory
Swinhoe's/Pin-tailed Snipe,Sensitive,Migratory
Yellow-billed Grosbeak,Sensitive,Migratory
Apo Myna,Sensitive,Resident
Blue-and-white Flycatcher,Sensitive,Migratory
Black-winged Kite,Tolerant,Resident
Bukidnon Woodcock,Sensitive,Resident
Chestnut-cheeked Starling,Tolerant,Migratory
Cinnamon Ibon,Sensitive,Resident
Gray-hooded Sunbird,Sensitive,Resident
McGregor's Cuckooshrike,Sensitive,Resident
Mindanao Heleia,Sensitive,Resident
Mindanao Racquet-tail,Sensitive,Resident
Apo Sunbird,Sensitive,Resident
Mugimaki Flycatcher,Sensitive,Migratory
Olive-capped Flowerpecker,Sensitive,Resident
Pied Harrier,Sensitive,Migratory
Red-eared Parrotfinch,Sensitive,Resident
Rufous-bellied Eagle,Sensitive,Resident
Rufous-headed Tailorbird,Sensitive,Resident
Short-tailed Starling,Sensitive,Resident
Stripe-breasted Rhabdornis,Sensitive,Resident
Bar-tailed Godwit,Sensitive,Migratory
Broad-billed Sandpiper,Sensitive,Migratory
Caspian Tern,Tolerant,Migratory
Common Tern,Sensitive,Migratory
Curlew Sandpiper,Sensitive,Migratory
Far Eastern Curlew,Sensitive,Migratory
Great Knot,Sensitive,Migratory
Gull-billed Tern,Tolerant,Migratory
Little Tern,Tolerant,Resident
Red Knot,Sensitive,Migratory
Sanderling,Sensitive,Migratory
Sharp-tailed Sandpiper,Sensitive,Migratory
Terek Sandpiper,Sensitive,Migratory
Cream-breasted Fruit-Dove,Sensitive,Resident
Golden-crowned Babbler,Sensitive,Resident
House Swift,Tolerant,Resident
Luzon Striped-Babbler,Sensitive,Resident
Sierra Madre Ground-Warbler,Sensitive,Resident
Thick-billed Flowerpecker,Sensitive,Resident
White-bellied Sea-Eagle,Tolerant,Resident
Camiguin Boobook,Sensitive,Resident
Greater Painted-Snipe,Tolerant,Resident
Lonchura sp.,Tolerant,Resident
Brown-throated Sunbird,Tolerant,Resident
Swinhoe's Snipe,Sensitive,Migratory
Dimorphic Dwarf-Kingfisher,Sensitive,Resident
Camiguin Bulbul,Sensitive,Resident
Common Pochard,Sensitive,Migratory
Garganey,Sensitive,Migratory
Gray-rumped/Ridgetop Swiftlet,Tolerant,Resident
Chirruping Nightjar,Sensitive,Resident
Black Shama,Sensitive,Resident
Cebu Boobook,Sensitive,Resident
Streak-breasted Bulbul,Sensitive,Resident
Bagobo Robin,Sensitive,Resident
Mindanao Brown-Dove,Sensitive,Resident
Lina's Sunbird,Sensitive,Resident
Mindanao Island-Thrush,Sensitive,Resident
Mindanao Scops-Owl,Sensitive,Resident
Spotted Imperial-Pigeon,Sensitive,Resident
Black Bittern,Sensitive,Resident
imperial-pigeon sp.,Sensitive,Resident
Middendorff's Grasshopper Warbler,Sensitive,Migratory
Mindanao Bleeding-heart,Sensitive,Resident
Ruddy Kingfisher,Sensitive,Resident
Cryptic Flycatcher,Sensitive,Resident
Whiskered Flowerpecker,Sensitive,Resident
Brown Booby,Tolerant,Resident
Chinese Crested Tern,Sensitive,Migratory
falcon sp.,Tolerant,Migratory
Pied Stilt,Tolerant,Resident
Eastern Buzzard,Sensitive,Migratory
Flame-breasted Fruit-Dove,Sensitive,Resident
Yellow-crowned Flowerpecker,Sensitive,Resident
Indigo-banded Kingfisher,Sensitive,Resident
Luzon Scops-Owl,Sensitive,Resident
passerine sp.,Tolerant,Resident
White-cheeked Bullfinch,Sensitive,Resident
Baikal Teal,Sensitive,Migratory
Gray-throated Martin,Tolerant,Resident
Philippine Collared-Dove,Tolerant,Resident
Yellow Bunting,Sensitive,Migratory
Acrocephalus sp.,Sensitive,Migratory
Barred Buttonquail,Sensitive,Resident
Blue-breasted Quail,Sensitive,Resident
coucal sp.,Sensitive,Resident
duck sp.,Sensitive,Migratory
Japanese Sparrowhawk,Sensitive,Migratory
Lemon-throated Leaf Warbler,Sensitive,Resident
Luzon Bleeding-heart,Sensitive,Resident
Pechora Pipit,Sensitive,Migratory
Philippine Swamphen,Tolerant,Resident
sunbird sp.,Tolerant,Resident
moorhen/coot/gallinule sp.,Tolerant,Resident
Besra/Japanese Sparrowhawk,Sensitive,Migratory
Mindoro Hornbill,Sensitive,Resident
Mindoro Racquet-tail,Sensitive,Resident
Ardea sp.,Sensitive,Migratory
Pheasant-tailed Jacana,Tolerant,Resident
Watercock,Tolerant,Resident
Flame-crowned Flowerpecker,Sensitive,Resident
Mindanao Plumed-Warbler,Sensitive,Resident
Negros Scops-Owl,Sensitive,Resident
Negros Striped-Babbler,Sensitive,Resident
Rosy Starling,Tolerant,Migratory
White-fronted Tit,Sensitive,Resident
Dunlin,Sensitive,Migratory
Eastern Marsh Harrier,Sensitive,Migratory
Eurasian Bittern,Sensitive,Migratory
gull sp.,Tolerant,Migratory
Muscovy Duck,Tolerant,Resident
Oriental Pratincole,Tolerant,Resident
Ruff,Sensitive,Migratory
shorebird sp.,Sensitive,Migratory
Siberian Rubythroat,Sensitive,Migratory
small bittern sp.,Sensitive,Resident
Tringa sp.,Sensitive,Migratory
Ashy-breasted Flycatcher,Sensitive,Resident
buttonquail sp.,Sensitive,Resident
Calidris sp.,Sensitive,Migratory
Asian Brown Flycatcher,Sensitive,Migratory
Ashy-fronted Bulbul,Sensitive,Resident
Ashy-headed Babbler,Sensitive,Resident
Square-tailed Drongo-Cuckoo,Sensitive,Resident
Palawan Fairy-bluebird,Sensitive,Resident
Bank Swallow,Sensitive,Migratory
Blue-headed Racquet-tail,Sensitive,Resident
Blue-eared Kingfisher,Sensitive,Resident
Black-headed Bulbul,Tolerant,Resident
Blue Paradise-Flycatcher,Sensitive,Resident
Brown-backed Needletail,Tolerant,Resident
Chestnut-breasted Malkoha,Sensitive,Resident
Common Iora,Tolerant,Resident
Copper-throated Sunbird,Sensitive,Resident
Crested Serpent-Eagle,Tolerant,Resident
Ventriloquial Oriole,Sensitive,Resident
Falcated Wren-Babbler,Sensitive,Resident
Fiery Minivet,Sensitive,Resident
Great-billed Heron,Tolerant,Resident
Greater Coucal,Tolerant,Resident
Great Slaty Woodpecker,Sensitive,Resident
Gray Imperial-Pigeon,Sensitive,Resident
Gray-throated Bulbul,Sensitive,Resident
Common Hill Myna,Tolerant,Resident
kingfisher sp.,Tolerant,Resident
Large-tailed Nightjar,Sensitive,Resident
Lesser Frigatebird,Tolerant,Resident
Lovely Sunbird,Sensitive,Resident
Malaysian Plover,Tolerant,Resident
Mangrove Whistler,Tolerant,Resident
Mantanani Scops-Owl,Sensitive,Resident
Palawan Sunbird,Tolerant,Resident
Oriental Hobby,Tolerant,Resident
Palawan Blue Flycatcher,Sensitive,Resident
Palawan Babbler,Sensitive,Resident
Palawan Drongo,Sensitive,Resident
Palawan Flowerpecker,Sensitive,Resident
Palawan Flycatcher,Sensitive,Resident
Palawan Frogmouth,Sensitive,Resident
Palawan Hornbill,Sensitive,Resident
Palawan Peacock-Pheasant,Sensitive,Resident
Pale Spiderhunter,Sensitive,Resident
Palawan Tit,Sensitive,Resident
Palawan Scops-Owl,Sensitive,Resident
Pied Imperial-Pigeon,Tolerant,Resident
Red-headed Flameback,Sensitive,Resident
Rufous-backed Dwarf-Kingfisher,Sensitive,Resident
Rufous-tailed Tailorbird,Sensitive,Resident
Palawan Crow,Tolerant,Resident
Spot-throated Flameback,Sensitive,Resident
Spotted Wood-Owl,Sensitive,Resident
Stork-billed Kingfisher,Tolerant,Resident
Pin-striped Tit-Babbler,Sensitive,Resident
Sulphur-bellied Bulbul,Sensitive,Resident
Thick-billed Green-Pigeon,Sensitive,Resident
green-pigeon sp.,Sensitive,Resident
Velvet-fronted Nuthatch,Sensitive,Resident
White-vented Shama,Sensitive,Resident
White-nest Swiftlet,Tolerant,Resident
Changeable Hawk-Eagle,Sensitive,Resident
Yellow-throated Leafbird,Sensitive,Resident
Calabarzon Babbler,Sensitive,Resident
Bicol Ground-Warbler,Sensitive,Resident
Long-billed Rhabdornis,Sensitive,Resident
Whiskered Pitta,Sensitive,Resident
flowerpecker sp.,Sensitive,Resident
pipit sp.,Sensitive,Migratory
Romblon Boobook,Sensitive,Resident
Tablas Drongo,Sensitive,Resident
Tablas Fantail,Sensitive,Resident
Singing Bushlark,Tolerant,Resident
Black-naped Tern,Tolerant,Resident
Southern Sooty-Woodpecker,Sensitive,Resident
White-eared Tailorbird,Sensitive,Resident
Zamboanga Bulbul,Sensitive,Resident
Helmeted Guineafowl,Tolerant,Resident
Rosy-faced Lovebird,Tolerant,Resident
small swift sp.,Tolerant,Resident
Zosterops sp.,Tolerant,Resident
Mindanao Cuckooshrike,Sensitive,Resident
Philippine Dwarf-Kingfisher,Sensitive,Resident
Aleutian Tern,Sensitive,Migratory
Panay Striped-Babbler,Sensitive,Resident
Visayan Rhabdornis,Sensitive,Resident
Himalayan/Oriental Cuckoo,Sensitive,Migratory
Muscicapa sp.,Sensitive,Migratory
cisticola sp.,Tolerant,Resident
Visayan Pygmy-Babbler,Sensitive,Resident
Dusky Warbler,Sensitive,Migratory
Pacific Swift,Tolerant,Migratory
Black Paradise-Flycatcher,Sensitive,Resident
Japanese Waxwing,Sensitive,Migratory
Richard's Pipit,Sensitive,Migratory
Slaty-legged Crake,Sensitive,Migratory
Furtive Flycatcher,Sensitive,Resident
Red-legged Crake,Sensitive,Resident
dabbling duck sp.,Sensitive,Migratory
sand-plover sp.,Sensitive,Migratory
Roseate Tern,Sensitive,Migratory
eagle sp.,Sensitive,Resident
Black-winged/Pied Stilt,Tolerant,Resident
Northern Lapwing,Sensitive,Migratory
Mindoro Cuckooshrike,Sensitive,Resident
Black-hooded Coucal,Sensitive,Resident
crow sp.,Tolerant,Resident
Mindoro Boobook,Sensitive,Resident
Mindoro Bulbul,Sensitive,Resident
Mindoro Scops-Owl,Sensitive,Resident
Scarlet-collared Flowerpecker,Sensitive,Resident
Brown-throated/Gray-throated Sunbird,Tolerant,Resident
Flame-templed Babbler,Sensitive,Resident
brown-dove sp.,Sensitive,Resident
